,ID,precipitation,temperature,elevation,evi,lai,ndvi,slope,TPI,wetness.twi,ruggedness.TRI,BK1000,Geology,Landuse,Bezirk,x,y,PROBEN_ID,BODENTYP,BODENART,POT,PUT,sand,silt,clay
5223,3081,1026.14001464844,7.29487609863281,517.683776855469,0.364818722009659,1.93991124629974,0.591463983058929,0.0838399827480316,1.44930934906006,5.92612981796265,16.0158214569092,143840,87132,3,85208,672656.650896668,5494045.56658865,B6434AB00004300001,vRRn,Sl4,0.0,10.0,51.0,32.7,16.3
5234,2918,926.868896484375,7.68220615386963,402.769897460938,0.370438426733017,2.39611387252808,0.704634487628937,0.120566964149475,-1.31747889518738,5.86550617218018,33.6866340637207,142048,114554,4,85208,673340.984726264,5481393.49621837,B6534AB00001600002,s2DD-BB,Ls2,2.0,20.0,29.7,48.3,22.0
5239,4691,1020.29455566406,6.19648122787476,574.006713867188,0.28949698805809,1.78215932846069,0.572220385074616,0.33022528886795,-1.08432483673096,4.35952234268189,26.6805171966553,143840,124786,4,86174,673344.037974511,5585401.65694448,B5634AB01500500001,BBn,Ls2,0.0,12.0,37.0,42.0,20.0
5242,7760,1004.75335693359,6.33970975875855,568.648193359375,0.260445356369019,2.30454158782959,0.664237499237061,0.069927416741848,-1.56102454662323,6.08938455581665,24.9579677581787,143840,124786,4,86174,673426.297826961,5583120.63306294,B5634AB01506800003,BBn,Lu,2.0,20.0,22.0,60.0,18.0
5244,7789,1004.75335693359,6.33970975875855,568.648193359375,0.260445356369019,2.30454158782959,0.664237499237061,0.069927416741848,-1.56102454662323,6.08938455581665,24.9579677581787,143840,124786,4,86174,673426.297826961,5583120.63306294,B5634AB01506800002,BBn,Lu,0.0,2.0,10.0,64.0,26.0
5245,7589,976.020446777344,7.4789628982544,491.644897460938,0.327721029520035,2.71497392654419,0.683202981948853,0.0370377227663994,-0.885579168796539,7.41272640228272,14.2362518310547,112112,87132,4,86174,673634.574674354,5510156.5266518,B6234AB00001500003,p4BBn,Uls,0.0,1.0,24.0,63.0,13.0
5246,7685,976.020446777344,7.4789628982544,491.644897460938,0.327721029520035,2.71497392654419,0.683202981948853,0.0370377227663994,-0.885579168796539,7.41272640228272,14.2362518310547,112112,87132,4,86174,673634.574674354,5510156.5266518,B6234AB00001500005,p4BBn,Uls,3.0,14.0,25.0,60.0,15.0
5247,7723,976.020446777344,7.4789628982544,491.644897460938,0.327721029520035,2.71497392654419,0.683202981948853,0.0370377227663994,-0.885579168796539,7.41272640228272,14.2362518310547,112112,87132,4,86174,673634.574674354,5510156.5266518,B6234AB00001500004,p4BBn,Uls,1.0,3.0,24.0,62.0,14.0
5252,4616,996.053527832031,6.69518947601318,548.524047851563,0.301025182008743,1.8994048833847,0.657139837741852,0.247015446424484,0.674155712127686,5.1721658706665,27.3264579772949,143840,124786,4,86174,673710.287020891,5578060.81802425,B5634AB01500300004,BB-RQ,Lu,0.0,9.0,18.0,55.0,27.0
5256,2666,1038.68127441406,7.20878410339356,552.255615234375,0.33966937661171,2.25306677818298,0.594017624855042,0.22970874607563,1.30377578735352,4.93987560272217,29.6179161071777,143840,87132,2,86174,673915.056310456,5501130.99395264,B6334AB00001100001,s.vBBn,Lt2,0.0,23.0,29.9,41.8,28.3
5270,4682,994.620483398437,6.74141979217529,504.021820068359,0.297829061746597,2.03426384925842,0.665602266788483,0.288851797580719,-2.24029135704041,6.01397132873535,41.3905067443848,143840,124786,4,86174,673932.91840232,5577999.74311657,B5634AB01500200004,BB-RQ,Ls2,0.0,2.0,29.0,49.0,22.0
5271,4695,994.620483398437,6.74141979217529,504.021820068359,0.297829061746597,2.03426384925842,0.665602266788483,0.288851797580719,-2.24029135704041,6.01397132873535,41.3905067443848,143840,124786,4,86174,673932.91840232,5577999.74311657,B5634AB01500200005,BB-RQ,Lu,4.0,8.0,25.0,51.0,24.0
5273,2810,842.464538574219,7.40275144577026,556.632141113281,0.32115775346756,2.319011926651,0.657733976840973,0.0123596349731088,2.51861691474915,6.89484739303589,13.1931810379028,143840,114554,7,86174,674035.974094761,5536372.2576243,B6034AB00000900002,s2BBn,Lts,0.0,4.0,42.0,29.2,28.9
5274,2811,842.464538574219,7.40275144577026,556.632141113281,0.32115775346756,2.319011926651,0.657733976840973,0.0123596349731088,2.51861691474915,6.89484739303589,13.1931810379028,143840,114554,7,86174,674035.974094761,5536372.2576243,B6034AB00000900003,s2BBn,Lt3,4.0,20.0,18.8,46.2,35.0
5277,7838,959.769165039063,7.15997982025147,594.900695800781,0.34068375825882,2.20613789558411,0.59525203704834,0.267609268426895,2.96200394630432,4.44231653213501,43.5690155029297,143840,124786,4,86174,674074.558000901,5567129.84485153,B5734AB01502900003,BBn,Ls2,4.0,14.0,29.0,49.0,22.0
5278,7894,959.769165039063,7.15997982025147,594.900695800781,0.34068375825882,2.20613789558411,0.59525203704834,0.267609268426895,2.96200394630432,4.44231653213501,43.5690155029297,143840,124786,4,86174,674074.558000901,5567129.84485153,B5734AB01502900002,BBn,Lu,0.0,4.0,28.0,50.0,22.0
5280,4888,693.875305175781,8.26934337615967,307.780792236328,0.411161810159683,6.44861173629761,0.589360535144806,0.012024849653244,-1.39731729030609,7.23894262313843,12.6298351287842,112112,64956,2,86174,674158.9719348,5551031.28808606,B5934AB00006300001,YK-GG,Tl,0.0,25.0,18.0,29.0,53.0
5282,3195,993.033874511719,6.39735507965088,632.652221679688,0.278251081705093,2.41575312614441,0.62532114982605,0.155791446566582,1.47048687934876,5.18071556091309,10.6162481307983,143840,124786,4,86174,674174.226482925,5582933.24980369,B5634AB00001700005,p4BBn,Lu,1.0,4.0,21.1,52.9,26.0
5283,3196,993.033874511719,6.39735507965088,632.652221679688,0.278251081705093,2.41575312614441,0.62532114982605,0.155791446566582,1.47048687934876,5.18071556091309,10.6162481307983,143840,124786,4,86174,674174.226482925,5582933.24980369,B5634AB00001700006,p4BBn,Lu,4.0,14.0,18.3,58.2,23.5
5289,5331,817.068481445313,7.63321256637573,416.234680175781,0.324431270360947,1.58300948143005,0.559054732322693,0.0787008479237557,-0.516983509063721,6.03309011459351,24.7021999359131,112112,148941,4,86174,674204.603740046,5558956.1463584,B5834AB00000200003,p2SSn,Uls,1.0,13.0,38.0,51.0,11.0
5290,5554,817.068481445313,7.63321256637573,416.234680175781,0.324431270360947,1.58300948143005,0.559054732322693,0.0787008479237557,-0.516983509063721,6.03309011459351,24.7021999359131,112112,148941,4,86174,674204.603740046,5558956.1463584,B5834AB00000200002,p2SSn,Uls,0.0,1.0,34.0,54.0,12.0
5291,2985,859.189147949219,7.72299289703369,415.040313720703,0.332789897918701,1.36815237998962,0.520464301109314,0.0055702761746943,-1.43685555458069,9.67233943939209,7.42913341522217,143840,64956,2,86174,674272.166725324,5564613.17548867,B5734AB00001400001,SSn,Lu,0.0,20.0,21.4,59.6,19.0
5297,4699,1004.08837890625,6.38710021972656,588.237731933594,0.304691940546036,2.33087420463562,0.664230525493622,0.126967042684555,-1.61187767982483,6.99394941329956,27.4100875854492,143840,124786,3,86174,674472.479939674,5581494.17049447,B5634AB01500400005,BBn,Ls2,4.0,21.0,29.0,48.0,23.0
5298,4702,1004.08837890625,6.38710021972656,588.237731933594,0.304691940546036,2.33087420463562,0.664230525493622,0.126967042684555,-1.61187767982483,6.99394941329956,27.4100875854492,143840,124786,3,86174,674472.479939674,5581494.17049447,B5634AB01500400004,BBn,Lu,0.0,4.0,24.0,53.0,23.0
5301,6719,1010.87152099609,6.31143665313721,638.67529296875,0.283710867166519,2.26922917366028,0.63533353805542,0.0496415831148624,1.79323327541351,6.05877685546875,17.5381889343262,143840,124786,4,86174,674678.877523298,5582033.90715963,B5634AB01507400004,BBn,Ls2,0.0,3.0,31.9841722682349,44.3642333147521,23.651594417013
5304,6722,1010.87152099609,6.31143665313721,638.67529296875,0.283710867166519,2.26922917366028,0.63533353805542,0.0496415831148624,1.79323327541351,6.05877685546875,17.5381889343262,143840,124786,4,86174,674678.877523298,5582033.90715963,B5634AB01507400005,BBn,Lt2,3.0,13.0,27.0864404935163,45.9582634283077,26.955296078176
5308,3639,760.387023925781,7.77754306793213,426.472320556641,0.384100496768951,1.59528815746307,0.57398271560669,0.0015238964697346,-0.968187928199768,10.2951717376709,11.6853046417236,142048,105051,1,86174,674976.09013799,5524901.23905885,B6134AB00001700001,vBB-RZ,Lu,0.0,23.0,19.2,53.4,27.5
5309,4802,819.686706542969,7.52123355865479,457.18603515625,0.363809734582901,1.64918053150177,0.583788096904755,0.05298987403512,-0.727907717227936,7.37355804443359,13.6300325393677,142048,114554,3,86174,675041.446516075,5534832.38639035,B6034AB00009600001,DD-SS,Lt3,0.0,24.0,18.0,44.0,38.0
5313,7984,806.78857421875,7.66363525390625,461.424896240234,0.396702170372009,1.71487677097321,0.634058713912964,0.0919150710105896,-0.624865770339966,5.03570127487183,30.2641830444336,142048,114554,2,86174,675102.543567474,5533732.99925625,B6034AB00001900001,vBB-SS,Sl4,0.0,22.0,57.0,28.0,15.0
5326,5260,712.060424804688,8.18515014648438,327.368133544922,0.363589972257614,2.28741264343262,0.646450698375702,0.130338817834854,-1.42528676986694,6.90477132797241,9.14821338653564,112112,306066,4,86174,675274.023936482,5543950.65463763,B5934AB00006400002,BB/DD,Lu,0.0,6.0,17.0,62.0,21.0
